,,Total,2165,DIV 4,,,,,,DIV 7,,,,,,DIV 14,,,,,,DIV 21,,,,,,DIV 28,,,,,
Q8R5C5,Beta-centractin,Actr1b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,3,1,2,1,0.5,3,3,1,1
P61161,Actin-related protein 2,Actr2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,2,0.5,0.5,0.5,2,0.5,0.5,2
Q99JY9,Actin-related protein 3,Actr3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,2,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P37172,Activin receptor type-1,Acvr1,,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,7,0.5,2,0.5,1,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,4,0.5,0.5,0.5,3,0.5,1
P27038,Activin receptor type-2A,Acvr2a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,0.5,0.5,0.5,0.5,3,0.5,2,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P56375,Acylphosphatase-2,Acyp2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35598,Disintegrin and metalloproteinase domain-containing protein 10,Adam10,,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,1,0.5,1,0.5,4,0.5,3,0.5,2,0.5,3,0.5,1,0.5,0.5,0.5,1,0.5,2,0.5,2
Q9R1V4,Disintegrin and metalloproteinase domain-containing protein 11,Adam11,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,3,0.5,2,0.5,2,0.5,10,0.5,3,0.5,7,0.5,4
Q9Z0F8,Disintegrin and metalloproteinase domain-containing protein 17,Adam17,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,1,0.5,0.5,0.5,1,0.5,5,0.5,0.5
Q9R1V6,Disintegrin and metalloproteinase domain-containing protein 22,Adam22,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,6,0.5,1,0.5,3,0.5,4,0.5,5,0.5,5,0.5,4,0.5,10,0.5,1,0.5,8,0.5,9
Q9R1V7,Disintegrin and metalloproteinase domain-containing protein 23,Adam23,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,9,0.5,2,0.5,3,0.5,5,0.5,4,0.5,5,0.5,4,0.5,12,0.5,8,0.5,11,0.5,14
Q3TTE0,Disintegrin and metalloproteinase domain-containing protein 5,Adam5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2
Q61072,Disintegrin and metalloproteinase domain-containing protein 9,Adam9,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q811B3,A disintegrin and metalloproteinase with thrombospondin motifs 12,Adamts12,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8R2V5,Arf-GAP with dual PH domain-containing protein 2,Adap2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O88444,Adenylate cyclase type 1,Adcy1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8VHH7,Adenylate cyclase type 3,Adcy3,,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,2,0.5,1,0.5,2,0.5,2,0.5,2,0.5,2,0.5,0.5,0.5,10,0.5,2,0.5,3,0.5,1
P97490,Adenylate cyclase type 8,Adcy8,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P70205,Pituitary adenylate cyclase-activating polypeptide type I receptor,Adcyap1r1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1
Q9QYC0,Alpha-adducin,Add1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,2,2,0.5,0.5,1,1,1,3,1,1,1,0.5,1,0.5,2,1,0.5,0.5
Q9QYB8,Beta-adducin,Add2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q3UHD1,Adhesion G protein-coupled receptor B1,Adgrb1,,0.5,0.5,0.5,0.5,0.5,1,0.5,5,0.5,10,0.5,3,0.5,3,0.5,6,0.5,11,0.5,4,0.5,3,0.5,16,0.5,2,0.5,4,0.5,6
Q8CGM1,Adhesion G protein-coupled receptor B2,Adgrb2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,0.5,3,0.5,1,0.5,9,0.5,8,0.5,10,0.5,5,0.5,6,0.5,5,0.5,4,0.5,10,0.5,4
Q80ZF8,Adhesion G protein-coupled receptor B3,Adgrb3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,0.5,6,0.5,2,0.5,2,0.5,3,0.5,1,0.5,0.5,0.5,0.5,0.5,4,0.5,1,0.5,3,0.5,0.5
Q8K209,Adhesion G-protein coupled receptor G1,Adgrg1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,2,0.5,2,0.5,3,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,1
Q80TR1,Adhesion G protein-coupled receptor L1,Adgrl1,,0.5,0.5,0.5,0.5,0.5,6,0.5,19,0.5,26,0.5,11,0.5,30,0.5,23,0.5,30,0.5,27,0.5,20,0.5,33,0.5,22,0.5,23,0.5,14
Q8JZZ7,Adhesion G protein-coupled receptor L2,Adgrl2,,0.5,0.5,0.5,0.5,0.5,1,0.5,3,0.5,2,0.5,1,0.5,9,0.5,14,0.5,5,0.5,9,0.5,4,0.5,1,0.5,5,0.5,5,0.5,1
Q80TS3,Adhesion G protein-coupled receptor L3,Adgrl3,,0.5,0.5,0.5,0.5,0.5,1,0.5,19,0.5,10,0.5,3,0.5,27,0.5,25,0.5,26,0.5,21,0.5,20,0.5,22,0.5,21,0.5,25,0.5,18
Q9JKV1,Proteasomal ubiquitin receptor ADRM1,Adrm1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q9ESC8,AF4/FMR2 family member 4,Aff4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8BXK8,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",Agap1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8VHH5,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",Agap3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8K2K6,Arf-GAP domain and FG repeat-containing protein 1,Agfg1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q9ESW4,"Acylglycerol kinase, mitochondrial",Agk,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9D517,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,Agpat3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
A2ASQ1,Agrin,Agrn,,0.5,0.5,0.5,0.5,0.5,1,0.5,13,0.5,6,0.5,1,0.5,5,0.5,16,0.5,9,0.5,3,0.5,7,0.5,3,0.5,3,0.5,4,0.5,6
P50247,Adenosylhomocysteinase,Ahcy,,2,2,2,2,0.5,3,3,14,0.5,10,0.5,9,0.5,2,3,11,1,14,0.5,0.5,0.5,6,0.5,3,0.5,2,0.5,0.5,0.5,3
Q68FL4,Putative adenosylhomocysteinase 3,Ahcyl2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1,Ahsa1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,2,2,2,0.5,1,0.5,3,1,7,3,2,0.5,3,2,2,2,0.5,0.5
